,reaction_id,reaction_name,reaction_reaction,genes,EC_number,groups,kegg_reaction,metanetx_reaction,seed_reaction
839,FBMO11,Chlorophenol 4-monooxygenase,26dchp_c + h_c + nadh_c + o2_c --> 26dchhq_c + h2o_c + nad_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,"1,4-Dichlorobenzene degradation",,,
840,ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> h_c + ppi_c + pran_c,"H16_A0356, H16_A3321",2.4.2.18,"Phenylalanine, Tyrosine and Tryptophan biosynthesis",R01073,MNXR95842,rxn00791
841,MACR4p,Maleylacetate reductase,2mac_c + h_c + nadph_c --> 3oxoadp_c + nadp_c,"H16_B0970, H16_A1786",,Benzoate degradation via Hydroxylation,,,
842,FBMO14,Chlorophenol 4-monooxygenase,h_c + nadh_c + o2_c + phentrc_c --> h2o_c + nad_c + pheth910o_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Naphthalene and Anthracene degradation,,,
843,FBMO15,Chlorophenol 4-monooxygenase,h_c + nadh_c + o2_c + salc_c --> gensa_c + h2o_c + nad_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Naphthalene and Anthracene degradation,,,
844,FBMO12,Chlorophenol 4-monooxygenase,h_c + nadh_c + o2_c + phentrc_c --> h2o_c + nad_c + pheth12o_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Naphthalene and Anthracene degradation,,,
845,FBMO13,Chlorophenol 4-monooxygenase,h_c + nadh_c + o2_c + phentrc_c --> h2o_c + nad_c + phatol_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Naphthalene and Anthracene degradation,,,
846,ASPALAt,L-Aspartate transport,ala__L_c + asp__L_e <=> ala__L_e + asp__L_c,,,"Transport, Extracellular",,,
847,GLUABUTt7,4-aminobutyrate/glutamate antiport,4abut_c + glu__L_e <=> 4abut_e + glu__L_c,,,Putative Transporters,,MNXR100276,"['rxn08628', 'rxn10136']"
848,PYAM5PO,Pyridoxamine 5'-phosphate oxidase,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,H16_A2802,1.4.3.5,Vitamine B6 metabolism,R00277,MNXR103355,rxn00208
849,PHBD,Poly(3-hydroxybutyrate) depolymerase,h2o_c + phb_c <=> h_c + r3hbn2_c + r3rhbb_c,"H16_B2401, H16_B2073, H16_A1150, H16_A2862, H16_B0339, H16_B1014",,Butanoate metabolism,,,
850,GLYK,Glycerol kinase,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,"H16_A2507, H16_B1199",2.7.1.30,Glycerolipid Metabolism,R00847,MNXR100348,rxn00615
851,UREAt,Urea transport via facilitate diffusion,urea_e <=> urea_c,,,"Transport, Extracellular",,MNXR105156,"['rxn05667', 'rxn09368', 'rxn09369']"
852,G3PD2,Glycerol-3-phosphate dehydrogenase (NADP),glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c,H16_A0336,1.1.1.94,Glycerophospholipid Metabolism,R00844,MNXR99877,rxn00612
853,MANpts,D-mannose transport via PEP:Pyr PTS,man_e + pep_c --> h_c + man6p_c + pyr_c,,,"Transport, Extracellular",,MNXR101401,"['rxn05610', 'rxn08885']"
854,G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),glyc3p_c + q8_c --> dhap_c + q8h2_c,"H16_B1198, H16_A2508",,Oxidative Phosphorylation,,MNXR99880,rxn08556
855,GLCRD,Glucarate dehydratase,glcr_c <=> d3dg_c + h2o_c,H16_B0127,4.2.1.40,Ascorbate and Aldarate metabolism,R02752,MNXR100220,rxn01989
856,4NOXDR,Oxidoreductase,3.0 h2_c + nicatol_c + o2_c --> h2o_c + h_c + no2_c + thbn_c,"H16_B2129, H16_B0738, H16_B0730",,gamma-Hexachlorocyclohexane degradation,,,
857,2KCHCCH,2-ketocyclohexanecarb oxyl-CoA hydrolase,2kchccoa_c + h2o_c --> pmcoa_c,"H16_B1691, H16_B1690, H16_B1864, H16_A3190",,Benzoate degradation via CoA ligation,,,
858,DABOT,Diaminobutyrate-2-oxoglutarate transaminase,aspsa_c + glu__L_c --> 24dab_c + akg_c,H16_B1692,,"Glycine, Serine and threonine Metabolism",,,
859,PGI,Glucose-6-phosphate isomerase,g6p_c <=> f6p_c,"H16_B1502, H16_A1502",5.3.1.9,Glycolysis/Gluconeogenesis,,MNXR102535,
860,ASO3t1,Arsenite transport,aso3_c <=> aso3_e,,,"Transport, Extracellular",,,
861,4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c --> 4hthr_c + pi_c,H16_A2265,"['4.2.3', '4.2.3.1']",Vitamine B6 metabolism,R05086,MNXR95024,rxn03446
862,PGK,Phosphoglycerate kinase,3pg_c + atp_c <=> 13dpg_c + adp_c,"H16_A0566, PHG417, H16_B1385",2.7.2.3,Glycolysis/Gluconeogenesis,R01512,MNXR102538,rxn01100
863,ASO3t2,Arsenite transport,aso3_c --> aso3_e,,,"Transport, Extracellular",,,
864,SERtr,L-serine reversible transport via proton symport,h_e + ser__L_e <=> h_c + ser__L_c,,,"Transport, Extracellular",,,
865,PGM,Phosphoglycerate mutase,2pg_c <=> 3pg_c,"H16_A0332, H16_A0493","['5.4.2.1', '5.4.2.11', '5.4.2.12']",Glycolysis/Gluconeogenesis,R01518,MNXR102547,rxn01106
866,PGL,6-phosphogluconolactonase,6pgl_c + h2o_c --> 6pgc_c + h_c,H16_B2565,3.1.1.31,Pentose Phosphate Pathway,R02035,MNXR102539,rxn01476
867,GLCRDH,Glucarate dehydratase,glcr_c --> 5dh4dglc_c + h2o_c,H16_B0127,,Ascorbate and Aldarate metabolism,,,
868,NAMNPP,Nicotinic acid mononucleotide pyrophosphorylase,nac_c + prpp_c --> nicrnt_c + ppi_c,H16_A2589,6.3.4.21,Nicotinate and Nicotinamide metabolism,R01724,MNXR101909,rxn08981
869,AGMT,Agmatinase,agm_c + h2o_c --> ptrc_c + urea_c,H16_A0044,3.5.3.11,Urea Cycle and Metabolism of amino groups,R01157,MNXR95554,rxn00858
870,MUCCYCI,Muconate cycloisomerase,ccmuc_c + h_c <=> mclact_c,"H16_B0536, H16_A1966",5.5.1.1,Benzoate degradation via Hydroxylation,R03959,MNXR101764,"['rxn02782', 'rxn12678']"
871,MCCIS2,Muconate cycloisomerase,3chccm_c + h_c --> co2_c + hcl_c + protmn_c,"H16_B0536, H16_A1966",,"1,4-Dichlorobenzene degradation",,,
872,MCCIS5,Muconate cycloisomerase,3flcmuc_c + h_c --> 4fmuclac_c,"H16_B0536, H16_A1966",,Fluorobenzoate degradation,,,
873,MCCIS4,Muconate cycloisomerase,4c2hmucsah_c --> 2h2hpd_c,"H16_B0536, H16_A1966",,Benzoate degradation via Hydroxylation,,,
874,OCMPH1,2-octaprenyl-6-methoxyphenol hydroxylase,2omph_c + h_c + nadph_c + o2_c --> 2ombzl_c + h2o_c + nadp_c,H16_A0504,,Ubiquinone Biosynthesis,,,
875,NITRDT1p,Nitroreductase,2.0 h_c + 2.0 nadph_c + tnittol_c --> 4hlmdnit_c + h2o_c + 2.0 nadp_c,H16_A1789,,Trinitrotoluene degradation,,,
876,GLYCt,Glycerol transport via channel,glyc_c <=> glyc_e,,,"Transport, Extracellular",,MNXR100343,"['rxn05581', 'rxn08654', 'rxn08658']"
877,THMB,Thiamine biosynthesis protein,air_c --> 4ahmmp_c,H16_A0235,,Thiamine Metabolism,,,
878,OMPHHX3,2-octaprenyl-6-methoxyphenol hydroxylase (anaerobic),2omph_c + 2.0 atp_c + 3.0 h2o_c + nad_c --> 2ombzl_c + 2.0 adp_c + 3.0 h_c + nadh_c + 2.0 pi_c,H16_A0504,,Ubiquinone Biosynthesis,,MNXR138672,rxn09043
879,MCCIS1,Muconate cycloisomerase,3mhdd_c + h_c --> 4mmclac_c,"H16_B0536, H16_A1966",,Toluene and Xylene degradation,,,
880,OCMPH2,2-octaprenyl-6-methoxyphenol hydroxylase,2.0 2omph_c + o2_c --> 2.0 2ombzl_c,H16_A0504,,Ubiquinone Biosynthesis,,,
881,PHBt,Poly-beta-hydroxybutyrate transport,h_c + phb_c --> h_e + phb_e,,,"Transport, Extracellular",,,
882,MNAO8,Monoamine oxidase,h2o_c + metp_c + o2_c --> 3m4hpga_c + h2o2_c + mma_c,H16_A0831,,Tyrosine metabolism,,,
883,P5CR,Pyrroline-5-carboxylate reductase,2.0 h_c + l1p3h5c_c + nadph_c --> 4hpro_c + nadp_c,H16_A3106,1.5.1.2,Arginine and Proline metabolism,R01251,MNXR102302,rxn00931
884,LGTHL,Lactoylglutathione lyase,gthrd_c + mthgxl_c --> lgt_s_c,"H16_A0517, H16_A0274, H16_B2255, H16_A2179, H16_B1143",4.4.1.5,Pyruvate Metabolism,R02530,MNXR100355,rxn01834
885,MNAO9,Monoamine oxidase,h2o_c + o2_c + peamn_c --> h2o2_c + nh4_c + pacald_c,H16_A0831,,Phenylalanine metabolism,,,
886,GGLUCYSS,Gammaglutamylcysteine synthetase,atp_c + cys__L_c + glu__L_c --> adp_c + gcys_c + h_c + pi_c,H16_A0322,,Glutamate metabolism,,,
887,MNAO4,Monoamine oxidase,3moxtyr_c + h2o_c + o2_c --> 3mox4hpac_c + h2o2_c + nh4_c,H16_A0831,,Tyrosine metabolism,,,
888,MNAO5,Monoamine oxidase,h2o_c + norad_c + o2_c --> 34dhmald_c + h2o2_c + nh4_c,H16_A0831,,Tyrosine metabolism,,,
889,MNAO6,Monoamine oxidase,adrn_c + h2o_c + o2_c --> 34dhmald_c + h2o2_c + mma_c,H16_A0831,,Tyrosine metabolism,,,
890,IMG3PS,Imidazole-glycerol-3-phosphate synthase,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + 2.0 h_c,"H16_A3410, H16_A3412",,Histidine Metabolism,,,
891,MNAO7,Monoamine oxidase,h2o_c + normete__L_c + o2_c --> 3m4hpga_c + h2o2_c + nh4_c,H16_A0831,,Tyrosine metabolism,,,
892,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,H16_A0831,"['1.4.3.21', '1.4.3.4', '1.4.3.6']","Glycine, Serine and threonine Metabolism",R02529,MNXR95149,rxn01833
893,MNAO2,Monoamine oxidase,h2o_c + mhista_c + o2_c --> h2o2_c + mlzac_c + nh4_c,H16_A0831,,Histidine Metabolism,,,
894,UAGPT2,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,uacgam_c + uagmda_c --> uaagmda_c + udp_c,H16_A3273,2.4.1.227,Peptidoglycan Biosynthesis,"['R05662', 'R06173']",MNXR105036,rxn03933
895,MNAO3,Monoamine oxidase,h2o_c + o2_c + tym_c --> 4hoxpacd_c + h2o2_c + nh4_c,H16_A0831,,Tyrosine metabolism,,,
896,FMETTRS,Methionyl-tRNA formyltransferase,10fthf_c + mettrna_c --> fmettrna_c + h_c + thf_c,H16_A3699,2.1.2.9,Aminoacyl-tRNA Biosynthesis,R03940,MNXR99604,
897,ALAabc,L-alanine transport via ABC system,ala__L_e + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,,,"Transport, Extracellular",,MNXR95703,"['rxn08097', 'rxn10170']"
898,ME4PCT,2-C-methyl-Derythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c --> cdpmde_c + ppi_c,H16_A1456,,Biosynthesis of steroids,,,
899,HEMEOS,Heme O synthase,frdp_c + h2o_c + h_c + pth_c --> hemeO_c + ppi_c,H16_A0352,2.5.1.-,Porphyrin and Chlorophyll metabolism,R07411,MNXR100596,
900,DTO4CH,Multi-step reaction,3.0 co2_c + ddm_c + 4.0 h2_c --> 2.0 4chphac_c + 2.0 h2o_c + 2.0 h_c,,,"1,1,1-Trichloro-2,2-Bis-(Chlorophenyl)Ethane (DDT) degradation",,,
901,FLBZDD,Fluorobenzene dihydrodiol dehydrogenase,4fchcd_c + nad_c --> 4flrcatech_c + h_c + nadh_c,"H16_B0734, H16_B0731",,Fluorobenzoate degradation,,,
902,ASPR,Aspartate racemase,asp__L_c <=> asp__D_c,H16_B2421,5.1.1.13,Alanine and Aspartate Metabolism,R00491,MNXR96097,rxn00348
903,DHAt,Dihydroxyacetone transport via facilitated diffusion,glyn_e <=> glyn_c,,,"Transport, Extracellular",,MNXR97367,"['rxn05532', 'rxn08325', 'rxn08326']"
904,S7PI,Sedoheptulose 7-phosphate isomerase,s7p_c --> gmhep7p_c,H16_A3578,5.3.1.28,Lipopolysaccharide Biosynthesis,"['R05645', 'R09768']",MNXR139387,"['rxn03917', 'rxn13937', 'rxn13947']"
905,ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,acgam_e + pep_c --> acgam6p_c + h_c + pyr_c,,,"Transport, Extracellular",,MNXR95253,"['rxn05485', 'rxn08041']"
906,PDX5PS,Pyridoxine 5'-phosphate synthase,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,"H16_A2552, H16_A0513, H16_B0216, H16_B0319",,Vitamine B6 metabolism,,MNXR102439,rxn09072
907,HMPK1,Hydroxymethylpyrimidine kinase (ATP),4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,H16_A0243,2.7.1.49,Thiamine Metabolism,,MNXR143164,rxn02484
908,DHADT1,Dihydroxy-acid dehydratase,23dhmb_c --> 3mob_c + h2o_c,"H16_B0280, H16_A2987",,"Valine, Leucine, and Isoleucine Metabolism",,,
909,PLIPASA1S_Nlimit,Phospholipase A1 (Phosphatidylserine),ps_cho_c --> 2ag3ps_c + 0.002 c120_c + 0.001 c141_c + 0.028 c150_c + 0.01 c151_c + 0.255 c160_c + 0.06 c161_c + 0.105 c170_c + 0.105 c181_c + 0.012 c190_c + 0.008 octadecacid_c + 0.414 tetdecacid_c,H16_A1139,,Glycerophospholipid Metabolism,,,
910,MCDC,Malonyl-CoA decarboxylase,h_c + malcoa_c --> accoa_c + co2_c,H16_A2981,4.1.1.9,Propanoate metabolism,R00233,MNXR101412,rxn00174
911,DHADT2,Dihydroxy-acid dehydratase,23dhmp_c --> 3mop_c + h2o_c,"H16_B0280, H16_A2987",,"Valine, Leucine, and Isoleucine Metabolism",,,
912,ACPS1,Acyl-carrier protein synthase,apoACP_c + coa_c --> ACP_c + h_c + pap_c,H16_A2551,2.7.8.7,Pantothenate and CoA biosynthesis,,MNXR95403,rxn06023
913,DHPMD,Dihydropyrimidinase,56dthm_c + h2o_c <=> 3uib_c + h_c,"H16_A0068, H16_A3075",,Pyrimidine metabolism,,,
914,MALTTTRabc,Maltotetraose transport via ABC system,M02451_e + atp_c + h2o_c --> M02451_c + adp_c + h_c + pi_c,,3.6.3,"Transport, Extracellular",,MNXR101360,"['rxn08877', 'rxn10173']"
915,4HBZt,4-Hydroxybenzoate transport,4hbz_e + h_e <=> 4hbz_c + h_c,,,"Transport, Extracellular",,,
916,PCT3,Propionate CoA-transferase,ac_c + laccoa_c --> accoa_c + lac__L_c,H16_A2718,,Styrene degradation,,,
917,PCT2,Propionate CoA-transferase,laccoa_c + ppa_c <=> lac__L_c + ppcoa_c,H16_A2718,,Propanoate metabolism,,,
918,PGCM,Phosphoglucomutase,g1p_c <=> g6p_c,,"['5.4.2.2', '5.4.2.5']",Glycolysis/Gluconeogenesis,R00959,MNXR102528,
919,PCT1,Propionate CoA-transferase,accoa_c + ppa_c <=> ac_c + ppcoa_c,H16_A2718,,Pyruvate Metabolism,,,
920,DAPE,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,H16_A0227,5.1.1.7,Lysine Biosynthesis,R02735,MNXR97143,rxn01974
921,NUDPK10,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + idp_c <=> adp_c + itp_c,H16_A2368,,Purine metabolism,,,
922,GOX,Glycine oxidase,gly_c --> h2_c + h_c + igly_c,H16_A0236,,Thiamine Metabolism,,,
923,ASPt,L-aspartate transport in via proton symport,asp__L_e + h_e --> asp__L_c + h_c,,,"Transport, Extracellular",,,
924,GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,gln__L_c + h2o_c + prpp_c --> glu__L_c + h_c + ppi_c + pram_c,H16_A2607,2.4.2.14,Purine metabolism,R01072,MNXR100287,rxn00790
925,FE2abc,Iron (II) transport via ABC system,atp_c + fe2_e + h2o_c --> adp_c + fe2_c + h_c + pi_c,,,"Transport, Extracellular",,MNXR99504,"['rxn05555', 'rxn08472']"
926,HISabc,L-histidine transport via ABC system,atp_c + h2o_c + his__L_e --> adp_c + h_c + his__L_c + pi_c,"H16_A2756, H16_B1478, H16_A0475, H16_B1810, H16_A0045, H16_A3308",3.6.3.21,"Transport, Extracellular",,MNXR100644,"['rxn05164', 'rxn08718']"
927,4HBTt,4-Hydroxybutanoic acid transport,4hbt_e + h_e --> 4hbt_c + h_c,,,"Transport, Extracellular",,,
928,BETALDHx,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,H16_B2130,1.2.1.8,"Glycine, Serine and threonine Metabolism",R02565,MNXR96237,rxn01867
929,BETALDDH1,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,H16_B2130,,"Glycine, Serine and threonine Metabolism",,,
930,MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),3.0 h_c + mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,H16_A0477,1.1.1.83,Butanoate metabolism,R00215,MNXR101339,rxn00160
931,SUCCt2r,Succinate transport via proton symport,h_e + succ_e <=> h_c + succ_c,,,"Transport, Extracellular",,MNXR104622,rxn05654
932,GSNt2,Guanosine transport in via proton symport,gsn_e + h_e --> gsn_c + h_c,,,"Transport, Extracellular",,MNXR100434,"['rxn05204', 'rxn08671', 'rxn09747']"
933,ILETA,Isoleucine transaminase,akg_c + ile__L_c <=> 3mop_c + glu__L_c,H16_A0561,2.6.1.42,"Valine, Leucine, and Isoleucine Metabolism",R02199,MNXR96228,rxn01575
934,ASNS,Asparagine synthase (glutaminehydrolysing),asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + 2.0 h_c + ppi_c,H16_A3223,,Alanine and Aspartate Metabolism,,,
935,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,"H16_B2234, H16_B0145, H16_B2233, H16_A1753, H16_B1300, H16_A1374",,Glycolysis/Gluconeogenesis,,,
936,2AMBZC,2-aminobenzoate-CoA ligase,anth_c + atp_c + coa_c --> amp_c + anthcoa_c + h_c + ppi_c,H16_A2457,,Carbazole degradation,,,
937,ICDHx,Isocitrate dehydrogenase (NAD),icit_c + nad_c <=> akg_c + co2_c + nadh_c,H16_B1016,"['1.1.1.286', '1.1.1.41']",Citric Acid Cycle,R00709,MNXR100782,rxn00505
938,PDH2,Pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase),adlipo_c + coa_c --> accoa_c + dlipo_c,"H16_B0146, H16_A1375",,Glycolysis/Gluconeogenesis,,MNXR102426,rxn10951
939,CLS_m,Cardiolipin synthase,2.0 pg_c <=> clpn_c + glyc_c,"H16_A0458, H16_B1255",,Glycerophospholipid Metabolism,,,
940,CLPNS2,Cardiolipin synthase,cdpdag_MRSA_c + pg_c --> clpn_c + cmp_c,"H16_A0458, H16_B1255",,Glycerophospholipid Metabolism,,,
941,P5CD3,Trans-4-Hydroxy-L-proline dehydrogenase,4hpro_c + fad_c --> fadh2_c + l1p3h5c_c,H16_A3631,,Arginine and Proline Metabolism,,,
942,BPDDO,"Biphenyl-2,3-diol 1,2-dioxygenase",chcatol_c + o2_c --> chhmsald_c + h_c,H16_B0654,,gamma-Hexachlorocyclohexane degradation,,,
943,P5CD4,L-1-Pyrroline-3-hydroxy-5-carboxylate dehydrogenase,2.0 h2o_c + l1p3h5c_c + nad_c --> e4hglu_c + h_c + nadh_c,H16_A3631,,Arginine and Proline Metabolism,,,
944,METAT,Methionine adenosyltransferase,atp_c + h2o_c + met__L_c --> amet_c + h_c + pi_c + ppi_c,"H16_A0230, H16_A1975",2.5.1.6,Methionine Metabolism,R00177,MNXR101407,rxn00126
945,PDH3,Dihydrolipoamide dehydrogenase,dlipo_c + nad_c --> h_c + lipo_c + nadh_c,"H16_A3724, H16_B1098, H16_A2323, H16_A1377",,Glycolysis/Gluconeogenesis,,,
946,P5CD5,L-4-Hydroxyglutamate semialdehyde dehydrogenase,e4hglu_c + 2.0 h_c + nadh_c <=> 4hglusa_c + h2o_c + nad_c,H16_A3631,,Arginine and Proline Metabolism,,,
947,BKAR2,Beta-ketoacyl-ACP reductase,5co46d_c + h_c + nadph_c --> 5co46dp_c + nadp_c,"H16_B0734, H16_B0731",,Tryptophan metabolism,,,
948,PCNO,Propanoyl-CoA:NADP+ 2-oxidoreductase,nadp_c + ppcoa_c <=> h_c + nadph_c + prpncoa_c,"H16_B0734, H16_B0731","['1.3.1.-', '1.3.1.84']",Propanoate metabolism,R00919,MNXR102415,rxn00668
949,DAPabc,M-diaminopimelic acid ABC transport,26dap__M_e + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,,,"Transport, Extracellular",,MNXR97146,"['rxn08304', 'rxn10145']"
950,4HBZDC,4-hydroxybenzoate decarboxylase,co2_c + phenol_c --> 4hbz_c + h_c,H16_B2446,,Benzoate degradation via CoA ligation,,,
951,R15BPK,"Ribose-1,5-bisphosphokinase",atp_c + h_c + r15bp_c --> adp_c + prpp_c,H16_B1291,2.7.4.23,Pentose Phosphate Pathway,R06836,MNXR103407,rxn04651
952,ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,H16_A1225,2.7.2.4,"Glycine, Serine and threonine Metabolism",R00480,MNXR96085,rxn00337
953,MGSA,Methylglyoxal synthase,dhap_c --> mthgxl_c + pi_c,H16_A0932,4.2.3.3,Pyruvate Metabolism,R01016,MNXR101551,rxn00748
954,4HBZCT,4-hydroxybenzoyl-CoA thioesterase,4hbzcoa_c + h2o_c --> 4hbz_c + coa_c + h_c,"H16_A2456, H16_A1529",,"2,4-Dichlorobenzoate degradation",,,
955,PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),paps_c + trdrd_c --> h_c + pap_c + so3_c + trdox_c,H16_A2997,1.8.4.8,Sulfur Metabolism,R02021,MNXR102376,rxn05239
956,IPMD,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,"H16_A2619, H16_A2133, H16_A0477",1.1.1.85,"Valine, Leucine and Isoleucine degradation",R04426,MNXR100878,rxn03062
957,PAPSR2,Phosphoadenylyl-sulfate reductase (glutaredoxin),grxrd_c + paps_c --> grxox_c + h_c + pap_c + so3_c,H16_A2997,1.8.4.8,Sulfur Metabolism,,MNXR102377,rxn09069
958,GCALDD,Glycolaldehyde dehydrogenase,gcald_c + h2o_c + nad_c --> glycolate_c + 2.0 h_c + nadh_c,,1.2.1.21,Glyoxylate and Dicarboxylate metabolism,R01333,MNXR100060,rxn00979
959,PDX5POi,Pyridoxine 5'-phosphate oxidase,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,H16_A2802,1.4.3.5,Vitamine B6 metabolism,R00278,MNXR102438,rxn00209
960,FGDM,N-formylglutamate deformylase,Nforglu_c + h2o_c --> for_c + glu__L_c,"H16_A1109, H16_A3013, H16_A1306, H16_A3649",,Glyoxylate and Dicarboxylate metabolism,,,
961,NA1t,Sodium transport,h_c + na1_e <=> h_e + na1_c,,,"Transport, Extracellular",,,
962,CRNCDH,Carnityl-CoA dehydratase,crncoa_c <=> ctbtcoa_c + h2o_c,"H16_B2438, H16_A2078",4.2.1.149,Oxidative Phosphorylation,R10675,MNXR96900,
963,NO3R1,Nitrate reductase (Ubiquinol-8),2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_e + no2_c + q8_c,"H16_B2265, H16_B2266, H16_B0776, H16_B2268, H16_B2267",,Nitrogen Metabolism,,MNXR101986,"['rxn09001', 'rxn10120']"
964,FLVR,Flavin reductase,2.0 h_c + nadph_c + ribflav_c --> nadp_c + rbflvrd_c,"H16_A2352, H16_B0671","['1.5.1.30', '1.5.1.41']",Rivoflavin metabolism,R05707,MNXR99601,rxn03976
965,GALCTNt2r,"D-galactonate transport via proton symport, reversible",galctn__D_e + h_e <=> galctn__D_c + h_c,,,"Transport, Extracellular",,MNXR99960,"['rxn08578', 'rxn10160']"
966,FRUpts2,Fructose transport via PEP:Pyr PTS (f6p generating),fru_e + pep_c --> f6p_c + h_c + pyr_c,,,"Transport, Extracellular",,MNXR99662,
967,CATCHD1,"Catechol 2,3-dioxygenase",dhtolen_c + o2_c --> cchoxod_c + h_c,H16_B0546,,Toluene and Xylene degradation,,,
968,CATCHD2,"Catechol 2,3-dioxygenase",4mcat_c + o2_c --> h_c + hmccms_c,H16_B0546,,Toluene and Xylene degradation,,,
969,CATCHD3,"Catechol 2,3-dioxygenase",3vcat_c + o2_c --> 2h6ot_c + h_c,H16_B0546,,Styrene degradation,,,
970,CATCHD4,"Catechol 2,3-dioxygenase",4chcat_c + o2_c --> 5ch2hmcs_c + h_c,H16_B0546,,"1,4-Dichlorobenzene degradation",,,
971,CATCHD5,"Catechol 2,3-dioxygenase",catechol_c + o2_c --> 2hmcnsad_c + h_c,H16_B0546,,Benzoate degradation via Hydroxylation,,,
972,HSERA,Homoserine O-acetyltransferase,accoa_c + hom__L_c <=> coa_c + oahser_c,H16_A0211,,Methionine Metabolism,,,
973,TMPK,Thiamine-phosphate kinase,atp_c + h_c + thmmp_c --> adp_c + thmpp_c,H16_A3154,2.7.4.16,Thiamine Metabolism,R00617,MNXR104907,rxn00438
974,HSDy,Homoserine dehydrogenase (NADPH),hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,H16_A2266,1.1.1.3,"Glycine, Serine and threonine Metabolism",R01775,MNXR100734,rxn01302
975,DHNPA,Dihydroneopterin aldolase,dhnpt_c --> ahhmp_c + gcald_c,H16_A0259,,Folate Biosynthesis,,MNXR138235,
976,URItr,"Uridine transport in via proton symport, reversible",h_e + uri_e <=> h_c + uri_c,,,"Transport, Extracellular",,,
977,BUTNt,Butanoic acid transport,butn_e + h_e --> butn_c + h_c,,,"Transport, Extracellular",,,
978,MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c --> 2mecdp_c + cmp_c,H16_A1457,4.6.1.12,Biosynthesis of steroids,R05637,MNXR101424,rxn03910
979,GLNS,Glutamine synthetase,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,"H16_B2191, H16_A2335, H16_B0618",6.3.1.2,Glutamate metabolism,R00253,MNXR100024,rxn00187
980,GLNST2,Glutamine synthetase,atp_c + nh4_c + uaagmda_c --> adp_c + h_c + pi_c + uaagtmda_c,"H16_B2191, H16_A2335, H16_B0618",,Peptidoglycan Biosynthesis,,,
981,THMPT,Phosphatase,pi_c + thm_c <=> h2o_c + thmmp_c,"H16_B0594, H16_B2398, H16_A0520, H16_B1063, H16_A0786, H16_A2577, H16_A2434",,Thiamine Metabolism,,,
982,CTBTCRNCT,Crotonobetainyl-CoA: carnitine CoA,crn_c + ctbtcoa_c <=> crncoa_c + ctbt_c,"H16_B2438, H16_A2078",,Oxidative Phosphorylation,,,
983,2NAPTCT,2-naphthoate CoAtransferase,2naptcoa_c + h2o_c --> 2naptha_c + coa_c + h_c,"H16_B0655, H16_B0656, H16_B0914, H16_B0355, H16_B0367, H16_B0488, H16_B0847",,1- and 2-Methylnaphthalene degradation,,,
